cycle,queueSize,serverCount,totalGenerated,totalBlocked,totalProcessed
# cycle 1: added server
485,372,7,719,2,338
486,373,7,720,2,339
487,374,7,722,2,340
488,373,7,722,2,340
489,373,7,722,2,342
490,371,7,722,2,343
491,370,7,722,2,343
492,370,7,722,2,343
493,370,7,722,2,343
494,370,7,722,2,344
495,369,7,722,2,345
496,368,7,722,2,346
497,367,7,722,2,348
498,365,7,722,2,348
499,365,7,722,2,348
500,365,7,722,2,348
501,365,7,722,2,349
502,364,7,722,2,351
503,363,7,723,2,351
504,363,7,723,2,352
505,363,7,724,2,353
506,363,7,725,2,356
507,362,7,727,2,356
508,362,7,727,2,356
509,362,7,727,2,356
510,362,7,727,2,356
511,363,7,728,2,357
512,362,7,728,2,358
513,361,7,728,2,360
514,359,7,728,2,361
515,360,7,730,2,361
516,362,7,732,2,362
517,361,7,732,2,363
518,360,7,732,2,363
519,361,7,733,2,365
520,361,7,735,2,367
521,359,7,735,2,368
522,358,7,735,2,369
523,357,7,735,2,369
524,358,7,736,2,370
525,357,7,736,2,372
526,355,7,736,2,373
527,354,7,736,2,376
528,351,7,736,2,376
529,351,7,736,2,377
530,352,7,738,2,377
531,352,7,738,2,377
532,352,7,738,2,377
533,354,7,740,2,378
534,355,7,742,2,379
535,354,7,742,2,382
536,351,7,742,2,382
537,351,7,742,2,383
538,350,7,742,2,384
539,349,7,742,2,384
# cycle 540: removed server
540,349,6,742,2,386
541,348,6,742,2,386
542,349,6,743,2,386
543,349,6,743,2,386
544,351,6,745,2,386
545,351,6,745,2,387
546,350,6,745,2,388
547,349,6,745,2,388
548,349,6,745,2,388
549,349,6,745,2,390
550,347,6,745,2,391
551,346,6,745,2,392
552,345,6,745,2,392
553,346,6,746,2,392
554,348,6,748,2,395
555,345,6,748,2,395
556,345,6,748,2,395
557,345,6,748,2,396
558,346,6,750,2,396
559,346,6,750,2,397
560,345,6,750,2,398
561,346,6,752,2,398
562,347,6,753,2,399
563,346,6,753,2,400
564,346,6,754,2,400
565,346,6,754,2,400
566,346,6,754,2,402
567,345,6,755,2,403
568,344,6,755,2,405
569,342,6,755,2,406
570,341,6,755,2,406
571,342,6,756,2,406
572,342,6,756,2,406
573,342,6,756,2,407
574,341,6,756,2,408
575,340,6,756,2,408
576,340,6,756,2,408
577,340,6,756,2,411
578,337,6,756,2,411
579,337,6,756,2,412
580,336,6,756,2,413
581,335,6,756,2,413
582,336,6,757,2,413
583,336,6,757,2,414
584,335,6,757,2,415
585,334,6,757,2,415
586,334,6,757,2,415
587,334,6,757,2,415
